"PID","parName","HVHS","HVLS","LVHS","LVLS"
501,"avg_alpha",0.73019788943393,0.787038625118208,0.491083966415067,0.820648312179718
501,"avg_gam",0.13288956973087,0.180546925933459,0.280756401448882,0.160930743123044
501,"cs",10.5159885648853,3.50441344712814,7.56983858055405,13.3215731635456
501,"E0",53.1259133507773,55.6776570130144,64.4205085936165,50.5325829998393
501,"eps",1.52373540622078,1.84953112465468,1.75561559104838,1.77554119902845
501,"eta",2.92569284340897,3.44795574026319,1.69939791948517,3.87805302501823
501,"final_alpha",0.739675991544061,0.797921716189549,0.503002287772909,0.830001225443223
501,"final_gam",0.129475816061639,0.175316070658051,0.276484789079442,0.156150468232761
501,"final_w",3.59332862450944,4.07513913382557,2.38011852066684,4.45546091955184
501,"psi",1.94342922563039,1.66771795959451,1.90288326879473,1.6163442613113
501,"w0",0.480453029955005,0.236838793775268,0.109427504244508,0.579434048360835
501,"xi",9.03954127613483,9.58755431036677,11.613576624051,10.5024557846086
502,"avg_alpha",0.538351441653033,0.644851147376989,0.00560533577457802,0.629640093313115
502,"avg_gam",0.310719942761702,0.453956677489671,0.546468693294144,0.372645136881973
502,"cs",10.0815691139561,4.17005670297399,6.91806759818352,6.11277288547179
502,"E0",98.5452237675886,87.2461350255354,78.6974269048385,21.9258025579732
502,"eps",2.0123000058149,2.53145941872797,1.96649020068544,2.10283823668655
502,"eta",1.39838224457467,1.39206928086714,0.0152789380998855,1.46319890505727
502,"final_alpha",0.548575945254163,0.657583614921709,0.00821193757907084,0.639320549943722
502,"final_gam",0.306824011339357,0.447982950520572,0.545832260502385,0.368002807176404
502,"final_w",2.24795127097449,2.27413827773646,0.149398139863682,2.2417220116733
502,"psi",1.96161842312181,1.52322852299775,1.78334493276281,1.54891372718264
502,"w0",0.455552992555333,0.232584961751767,0.0731544728565478,0.532635725804922
502,"xi",12.3837625354793,9.03688294643667,9.27000213702398,13.9808038410887
503,"avg_alpha",0.048535994527466,0.0264826701078797,0.206014289235957,0.840358857222915
503,"avg_gam",0.786032191452273,0.683688185336848,0.670972619417788,0.150475357466432
503,"cs",8.92403761388877,3.69688976126089,6.33949578925194,14.1203966257274
503,"E0",36.8618972457942,62.8577169357198,81.8870329287036,88.9546957765398
503,"eps",3.47846215943881,2.60030701854957,2.40514816976037,1.78684379451776
503,"eta",0.0314560594987323,0.0352543545076935,0.211946067584298,4.20639008944197
503,"final_alpha",0.046173678460228,0.0333479900147963,0.230244393694317,0.849887921768398
503,"final_gam",0.786412177660294,0.682358859593044,0.664973994397604,0.145450146267451
503,"final_w",0.368565769438271,0.273724453522736,0.787516849629521,4.76058723614141
503,"psi",1.72528724012891,1.66779920193465,1.45998973526928,1.58776043273264
503,"w0",0.38425563665072,0.149569392125305,0.0929351967040433,0.557770629434073
503,"xi",4.81571390045308,4.8122957032807,6.39456404567548,9.83818210536864
505,"avg_alpha",0.716340248612922,0.299289572551057,0.0949001443374187,0.856103349237544
505,"avg_gam",0.1989041588165,0.528482624907539,0.475437685860448,0.148432296798568
505,"cs",9.23623946493192,5.16220296147022,8.72069374756592,11.7893050248112
505,"E0",58.746486983161,66.7705915886947,71.0049360052846,47.9566372676638
505,"eps",1.85529627758948,2.19031054179966,1.80050689943409,1.81311030844256
505,"eta",2.54529505337873,0.491674765304592,0.150676103550635,4.35654626561648
505,"final_alpha",0.72593982127474,0.314475655648224,0.109637398698326,0.865462555801884
505,"final_gam",0.194826263332021,0.523632318966822,0.471489619930864,0.143324872493056
505,"final_w",3.29384008469173,1.13851328651404,0.62768764859589,4.89840156256573
505,"psi",1.88216968321957,1.64781728037129,1.80467447535839,1.55105768274452
505,"w0",0.491986551937724,0.201953030596228,0.111108472868008,0.597929436433394
505,"xi",7.00128602917831,5.54017966960264,4.90813581083172,8.5303917647187
506,"avg_alpha",0.680414587243593,0.834100932694786,0.852203032588188,0.897137870982083
506,"avg_gam",0.0995075814433266,0.157682458085602,0.167688312974639,0.110010937869483
506,"cs",1.28595464675063,4.74277658902048,8.00888233129978,7.82676619554436
506,"E0",32.4587595385136,30.3549483934798,35.9635671957398,18.0307760222717
506,"eps",1.24937167087317,1.86759993838146,1.94988947226158,1.7584096020157
506,"eta",3.05620144106455,4.10282881943904,3.99807001807888,5.21573916429614
506,"final_alpha",0.689508425387937,0.845099748172338,0.863610600974967,0.906699247401375
506,"final_gam",0.0968858785353069,0.152137709248909,0.1617359574971,0.104647027491142
506,"final_w",3.66207270119256,4.68005976418517,4.58924610404573,5.68361759763557
506,"psi",2.02287978544172,1.6133350686302,1.58775309933194,1.51729791704743
506,"w0",0.495560856048247,0.239150235178825,0.110746815865375,0.582596997565568
506,"xi",7.33169922942873,8.9223725508127,8.60893738118174,5.28171628808609
507,"avg_alpha",0.858505404554082,0.821751054885954,0.810252733528387,0.718756264519725
507,"avg_gam",0.187313146944015,0.22988363671542,0.186647823630983,0.383070323611521
507,"cs",3.78799877507229,5.2098401505007,6.84315909734855,10.4357909754202
507,"E0",65.3360628197186,58.9299666173609,42.7425754407512,10.2883391809464
507,"eps",2.28938351456731,2.1736179066043,1.89933450399327,2.31012847330419
507,"eta",3.93453750559707,3.19177805065647,3.11497233067623,1.70114638978945
507,"final_alpha",0.868669522060204,0.83277744225692,0.821383585181402,0.728670540105936
507,"final_gam",0.181421485769355,0.223872378749361,0.181210573649144,0.377655890960969
507,"final_w",4.63423436179498,3.89463385495913,3.76756027698499,2.52047245309293
507,"psi",1.6420480603338,1.55402124907693,1.66897001318073,1.45218998744396
