"","value"
"mu_pr[1]",0.403078028205723
"mu_pr[2]",0.937611350462133
"mu_pr[3]",1.19891795666084
"mu_pr[4]",3.48920864543093
"mu_pr[5]",0.932002790451776
"mu_pr[6]",0.48214363667282
"mu_pr[7]",0.706149041467267
"sigma[1]",1.57108190593137
"sigma[2]",0.607264713524964
"sigma[3]",1.82038459150201
"sigma[4]",6.77790931375952
"sigma[5]",75.2361619063305
"sigma[6]",0.591506957118002
"sigma[7]",13.6665116990001
