"parameter","mean","sd","pt","group","model"
"alpha",0.11,0.013,27,"All","eRL"
"cs",0.131,0.016,27,"All","eRL"
"E0",0.091,0.011,27,"All","eRL"
"eta",0.005,0.001,27,"All","eRL"
"gam",0.048,0.01,27,"All","eRL"
"alpha",0.111,0.013,28,"All","eRL"
"cs",0.13,0.016,28,"All","eRL"
"E0",0.093,0.01,28,"All","eRL"
"eta",0.005,0.001,28,"All","eRL"
"gam",0.048,0.009,28,"All","eRL"
"alpha",0.112,0.013,29,"All","eRL"
"cs",0.13,0.015,29,"All","eRL"
"E0",0.092,0.01,29,"All","eRL"
"eta",0.005,0.001,29,"All","eRL"
"gam",0.049,0.008,29,"All","eRL"
"alpha",0.111,0.011,30,"All","eRL"
"cs",0.128,0.015,30,"All","eRL"
"E0",0.091,0.009,30,"All","eRL"
"eta",0.005,0.001,30,"All","eRL"
"gam",0.046,0.009,30,"All","eRL"
"alpha",0.113,0.012,31,"All","eRL"
"cs",0.13,0.014,31,"All","eRL"
"E0",0.092,0.009,31,"All","eRL"
"eta",0.005,0.001,31,"All","eRL"
"gam",0.048,0.008,31,"All","eRL"
"alpha",0.113,0.011,32,"All","eRL"
"cs",0.13,0.014,32,"All","eRL"
"E0",0.092,0.009,32,"All","eRL"
"eta",0.005,0.001,32,"All","eRL"
"gam",0.049,0.008,32,"All","eRL"
"alpha",0.113,0.012,33,"All","eRL"
"cs",0.13,0.014,33,"All","eRL"
"E0",0.093,0.009,33,"All","eRL"
"eta",0.005,0.001,33,"All","eRL"
"gam",0.049,0.008,33,"All","eRL"
"alpha",0.11,0.011,34,"All","eRL"
"cs",0.129,0.013,34,"All","eRL"
"E0",0.094,0.008,34,"All","eRL"
"eta",0.005,0.001,34,"All","eRL"
"gam",0.048,0.007,34,"All","eRL"
"alpha",0.113,0.011,35,"All","eRL"
"cs",0.128,0.012,35,"All","eRL"
"E0",0.092,0.008,35,"All","eRL"
"eta",0.005,0.001,35,"All","eRL"
"gam",0.049,0.009,35,"All","eRL"
"alpha",0.114,0.011,36,"All","eRL"
"cs",0.131,0.013,36,"All","eRL"
"E0",0.093,0.008,36,"All","eRL"
"eta",0.005,0.001,36,"All","eRL"
"gam",0.049,0.008,36,"All","eRL"
"alpha",0.113,0.011,37,"All","eRL"
"cs",0.129,0.013,37,"All","eRL"
"E0",0.092,0.008,37,"All","eRL"
"eta",0.005,0.001,37,"All","eRL"
"gam",0.049,0.007,37,"All","eRL"
"alpha",0.113,0.011,38,"All","eRL"
"cs",0.129,0.012,38,"All","eRL"
"E0",0.093,0.008,38,"All","eRL"
"eta",0.005,0.001,38,"All","eRL"
"gam",0.049,0.008,38,"All","eRL"
"alpha",0.113,0.01,39,"All","eRL"
"cs",0.13,0.011,39,"All","eRL"
"E0",0.093,0.008,39,"All","eRL"
"eta",0.005,0.001,39,"All","eRL"
"gam",0.049,0.007,39,"All","eRL"
"alpha",0.112,0.011,40,"All","eRL"
"cs",0.131,0.012,40,"All","eRL"
"E0",0.092,0.008,40,"All","eRL"
"eta",0.005,0.001,40,"All","eRL"
"gam",0.049,0.007,40,"All","eRL"
"alpha",0.112,0.01,41,"All","eRL"
"cs",0.13,0.012,41,"All","eRL"
"E0",0.092,0.006,41,"All","eRL"
"eta",0.005,0.001,41,"All","eRL"
"gam",0.048,0.007,41,"All","eRL"
"alpha",0.113,0.01,42,"All","eRL"
"cs",0.13,0.011,42,"All","eRL"
"E0",0.093,0.007,42,"All","eRL"
"eta",0.005,0.001,42,"All","eRL"
"gam",0.049,0.007,42,"All","eRL"
"alpha",0.112,0.009,43,"All","eRL"
"cs",0.13,0.012,43,"All","eRL"
"E0",0.093,0.008,43,"All","eRL"
"eta",0.005,0.001,43,"All","eRL"
"gam",0.049,0.007,43,"All","eRL"
"alpha",0.113,0.009,44,"All","eRL"
"cs",0.131,0.011,44,"All","eRL"
"E0",0.093,0.007,44,"All","eRL"
"eta",0.005,0.001,44,"All","eRL"
"gam",0.048,0.006,44,"All","eRL"
"alpha",0.113,0.009,45,"All","eRL"
"cs",0.131,0.011,45,"All","eRL"
