"parameter","mean","sd","pt","group","model"
"E0",0.105,0.015,25,"All","RL"
"eta",0.004,0.001,25,"All","RL"
"alpha",0.079,0.013,26,"All","RL"
"cs",0.133,0.017,26,"All","RL"
"E0",0.106,0.015,26,"All","RL"
"eta",0.004,0.001,26,"All","RL"
"alpha",0.079,0.014,27,"All","RL"
"cs",0.134,0.017,27,"All","RL"
"E0",0.107,0.014,27,"All","RL"
"eta",0.004,0.001,27,"All","RL"
"alpha",0.079,0.014,28,"All","RL"
"cs",0.13,0.017,28,"All","RL"
"E0",0.106,0.015,28,"All","RL"
"eta",0.004,0.001,28,"All","RL"
"alpha",0.08,0.013,29,"All","RL"
"cs",0.134,0.017,29,"All","RL"
"E0",0.107,0.012,29,"All","RL"
"eta",0.004,0.001,29,"All","RL"
"alpha",0.078,0.013,30,"All","RL"
"cs",0.135,0.018,30,"All","RL"
"E0",0.109,0.01,30,"All","RL"
"eta",0.004,0.001,30,"All","RL"
"alpha",0.08,0.012,31,"All","RL"
"cs",0.134,0.017,31,"All","RL"
"E0",0.108,0.013,31,"All","RL"
"eta",0.004,0.001,31,"All","RL"
"alpha",0.078,0.013,32,"All","RL"
"cs",0.135,0.015,32,"All","RL"
"E0",0.107,0.012,32,"All","RL"
"eta",0.004,0,32,"All","RL"
"alpha",0.082,0.012,33,"All","RL"
"cs",0.133,0.016,33,"All","RL"
"E0",0.107,0.013,33,"All","RL"
"eta",0.004,0.001,33,"All","RL"
"alpha",0.08,0.012,34,"All","RL"
"cs",0.131,0.016,34,"All","RL"
"E0",0.109,0.009,34,"All","RL"
"eta",0.004,0,34,"All","RL"
"alpha",0.081,0.012,35,"All","RL"
"cs",0.133,0.016,35,"All","RL"
"E0",0.105,0.013,35,"All","RL"
"eta",0.004,0.001,35,"All","RL"
"alpha",0.08,0.012,36,"All","RL"
"cs",0.131,0.015,36,"All","RL"
"E0",0.106,0.012,36,"All","RL"
"eta",0.004,0.001,36,"All","RL"
"alpha",0.08,0.011,37,"All","RL"
"cs",0.133,0.015,37,"All","RL"
"E0",0.107,0.011,37,"All","RL"
"eta",0.004,0,37,"All","RL"
"alpha",0.08,0.011,38,"All","RL"
"cs",0.132,0.015,38,"All","RL"
"E0",0.106,0.011,38,"All","RL"
"eta",0.004,0,38,"All","RL"
"alpha",0.081,0.011,39,"All","RL"
"cs",0.134,0.014,39,"All","RL"
"E0",0.108,0.012,39,"All","RL"
"eta",0.004,0,39,"All","RL"
"alpha",0.08,0.011,40,"All","RL"
"cs",0.133,0.013,40,"All","RL"
"E0",0.108,0.01,40,"All","RL"
"eta",0.004,0.001,40,"All","RL"
"alpha",0.08,0.01,41,"All","RL"
"cs",0.132,0.014,41,"All","RL"
"E0",0.105,0.011,41,"All","RL"
"eta",0.004,0.001,41,"All","RL"
"alpha",0.08,0.01,42,"All","RL"
"cs",0.132,0.013,42,"All","RL"
"E0",0.107,0.011,42,"All","RL"
"eta",0.004,0,42,"All","RL"
"alpha",0.079,0.009,43,"All","RL"
"cs",0.134,0.013,43,"All","RL"
"E0",0.107,0.009,43,"All","RL"
"eta",0.004,0,43,"All","RL"
"alpha",0.08,0.01,44,"All","RL"
"cs",0.132,0.012,44,"All","RL"
"E0",0.106,0.01,44,"All","RL"
"eta",0.004,0,44,"All","RL"
"alpha",0.08,0.01,45,"All","RL"
"cs",0.133,0.013,45,"All","RL"
"E0",0.106,0.01,45,"All","RL"
"eta",0.004,0,45,"All","RL"
"alpha",0.081,0.009,46,"All","RL"
"cs",0.132,0.012,46,"All","RL"
"E0",0.106,0.011,46,"All","RL"
"eta",0.004,0,46,"All","RL"
"alpha",0.079,0.009,47,"All","RL"
"cs",0.133,0.012,47,"All","RL"
"E0",0.108,0.009,47,"All","RL"
"eta",0.004,0,47,"All","RL"
"alpha",0.081,0.01,48,"All","RL"
"cs",0.133,0.012,48,"All","RL"
"E0",0.106,0.009,48,"All","RL"
"eta",0.004,0,48,"All","RL"
"alpha",0.08,0.009,49,"All","RL"
"cs",0.133,0.011,49,"All","RL"
"E0",0.107,0.009,49,"All","RL"
"eta",0.004,0,49,"All","RL"
"alpha",0.08,0.009,50,"All","RL"
"cs",0.132,0.012,50,"All","RL"
"E0",0.107,0.009,50,"All","RL"
"eta",0.004,0,50,"All","RL"
"alpha",0.08,0.009,51,"All","RL"
"cs",0.133,0.011,51,"All","RL"
"E0",0.106,0.009,51,"All","RL"
"eta",0.004,0,51,"All","RL"
"alpha",0.08,0.009,52,"All","RL"
"cs",0.132,0.011,52,"All","RL"
"E0",0.108,0.009,52,"All","RL"
"eta",0.004,0,52,"All","RL"
"alpha",0.081,0.008,53,"All","RL"
"cs",0.133,0.01,53,"All","RL"
"E0",0.107,0.009,53,"All","RL"
"eta",0.004,0,53,"All","RL"
"alpha",0.08,0.007,54,"All","RL"
"cs",0.132,0.012,54,"All","RL"
"E0",0.108,0.009,54,"All","RL"
"eta",0.004,0,54,"All","RL"
"alpha",0.08,0.008,55,"All","RL"
"cs",0.132,0.011,55,"All","RL"
"E0",0.107,0.008,55,"All","RL"
"eta",0.004,0,55,"All","RL"
"alpha",0.08,0.008,56,"All","RL"
"cs",0.134,0.01,56,"All","RL"
"E0",0.107,0.008,56,"All","RL"
"eta",0.004,0,56,"All","RL"
"alpha",0.081,0.008,57,"All","RL"
"cs",0.133,0.01,57,"All","RL"
"E0",0.107,0.008,57,"All","RL"
"eta",0.004,0,57,"All","RL"
"alpha",0.08,0.008,58,"All","RL"
"cs",0.133,0.01,58,"All","RL"
"E0",0.107,0.007,58,"All","RL"
"eta",0.004,0,58,"All","RL"
"alpha",0.08,0.008,59,"All","RL"
"cs",0.133,0.01,59,"All","RL"
"E0",0.107,0.008,59,"All","RL"
"eta",0.004,0,59,"All","RL"
"alpha",0.08,0.008,60,"All","RL"
"cs",0.134,0.01,60,"All","RL"
"E0",0.107,0.008,60,"All","RL"
"eta",0.004,0,60,"All","RL"
"alpha",0.08,0.008,61,"All","RL"
"cs",0.133,0.009,61,"All","RL"
"E0",0.107,0.007,61,"All","RL"
"eta",0.004,0,61,"All","RL"
"alpha",0.08,0.007,62,"All","RL"
"cs",0.133,0.009,62,"All","RL"
"E0",0.107,0.008,62,"All","RL"
"eta",0.004,0,62,"All","RL"
"alpha",0.08,0.007,63,"All","RL"
"cs",0.132,0.009,63,"All","RL"
"E0",0.106,0.008,63,"All","RL"
"eta",0.004,0,63,"All","RL"
"alpha",0.081,0.007,64,"All","RL"
"cs",0.133,0.009,64,"All","RL"
"E0",0.107,0.007,64,"All","RL"
"eta",0.004,0,64,"All","RL"
"alpha",0.08,0.006,65,"All","RL"
"cs",0.133,0.008,65,"All","RL"
"E0",0.107,0.007,65,"All","RL"
"eta",0.004,0,65,"All","RL"
"alpha",0.082,0.006,66,"All","RL"
"cs",0.133,0.007,66,"All","RL"
"E0",0.107,0.007,66,"All","RL"
"eta",0.004,0,66,"All","RL"
"alpha",0.08,0.006,67,"All","RL"
"cs",0.133,0.008,67,"All","RL"
"E0",0.107,0.006,67,"All","RL"
"eta",0.004,0,67,"All","RL"
"alpha",0.081,0.006,68,"All","RL"
"cs",0.133,0.009,68,"All","RL"
"E0",0.107,0.005,68,"All","RL"
"eta",0.004,0,68,"All","RL"
"alpha",0.081,0.006,69,"All","RL"
"cs",0.133,0.008,69,"All","RL"
"E0",0.107,0.006,69,"All","RL"
"eta",0.004,0,69,"All","RL"
"alpha",0.081,0.007,70,"All","RL"
"cs",0.133,0.008,70,"All","RL"
"E0",0.108,0.006,70,"All","RL"
"eta",0.004,0,70,"All","RL"
"alpha",0.08,0.006,71,"All","RL"
"cs",0.133,0.007,71,"All","RL"
"E0",0.106,0.006,71,"All","RL"
"eta",0.004,0,71,"All","RL"
"alpha",0.08,0.005,72,"All","RL"
"cs",0.134,0.008,72,"All","RL"
"E0",0.106,0.006,72,"All","RL"
"eta",0.004,0,72,"All","RL"
"alpha",0.081,0.006,73,"All","RL"
"cs",0.133,0.007,73,"All","RL"
"E0",0.108,0.006,73,"All","RL"
"eta",0.004,0,73,"All","RL"
"alpha",0.081,0.006,74,"All","RL"
"cs",0.133,0.007,74,"All","RL"
"E0",0.107,0.006,74,"All","RL"
"eta",0.004,0,74,"All","RL"
"alpha",0.08,0.006,75,"All","RL"
"cs",0.133,0.007,75,"All","RL"
"E0",0.107,0.006,75,"All","RL"
"eta",0.004,0,75,"All","RL"
"alpha",0.08,0.006,76,"All","RL"
"cs",0.133,0.008,76,"All","RL"
"E0",0.107,0.006,76,"All","RL"
"eta",0.004,0,76,"All","RL"
"alpha",0.08,0.005,77,"All","RL"
"cs",0.133,0.007,77,"All","RL"
"E0",0.107,0.005,77,"All","RL"
"eta",0.004,0,77,"All","RL"
"alpha",0.078,0.006,78,"All","RL"
"cs",0.133,0.007,78,"All","RL"
"E0",0.107,0.006,78,"All","RL"
"eta",0.004,0,78,"All","RL"
"alpha",0.08,0.005,79,"All","RL"
"cs",0.134,0.007,79,"All","RL"
"E0",0.107,0.005,79,"All","RL"
"eta",0.004,0,79,"All","RL"
"alpha",0.08,0.004,80,"All","RL"
"cs",0.134,0.006,80,"All","RL"
"E0",0.108,0.005,80,"All","RL"
"eta",0.004,0,80,"All","RL"
"alpha",0.081,0.005,81,"All","RL"
"cs",0.134,0.006,81,"All","RL"
"E0",0.107,0.005,81,"All","RL"
"eta",0.004,0,81,"All","RL"
"alpha",0.081,0.005,82,"All","RL"
"cs",0.133,0.006,82,"All","RL"
"E0",0.107,0.005,82,"All","RL"
"eta",0.004,0,82,"All","RL"
"alpha",0.081,0.005,83,"All","RL"
"cs",0.134,0.006,83,"All","RL"
"E0",0.107,0.005,83,"All","RL"
"eta",0.004,0,83,"All","RL"
"alpha",0.08,0.005,84,"All","RL"
"cs",0.133,0.006,84,"All","RL"
"E0",0.107,0.005,84,"All","RL"
"eta",0.004,0,84,"All","RL"
"alpha",0.081,0.004,85,"All","RL"
"cs",0.134,0.006,85,"All","RL"
"E0",0.107,0.005,85,"All","RL"
"eta",0.004,0,85,"All","RL"
"alpha",0.08,0.004,86,"All","RL"
"cs",0.133,0.005,86,"All","RL"
"E0",0.107,0.004,86,"All","RL"
"eta",0.004,0,86,"All","RL"
"alpha",0.081,0.004,87,"All","RL"
"cs",0.134,0.005,87,"All","RL"
"E0",0.108,0.004,87,"All","RL"
"eta",0.004,0,87,"All","RL"
"alpha",0.081,0.004,88,"All","RL"
"cs",0.133,0.005,88,"All","RL"
"E0",0.107,0.004,88,"All","RL"
"eta",0.004,0,88,"All","RL"
"alpha",0.081,0.004,89,"All","RL"
"cs",0.133,0.005,89,"All","RL"
"E0",0.107,0.004,89,"All","RL"
"eta",0.004,0,89,"All","RL"
"alpha",0.081,0.004,90,"All","RL"
"cs",0.134,0.004,90,"All","RL"
"E0",0.107,0.004,90,"All","RL"
"eta",0.004,0,90,"All","RL"
"alpha",0.081,0.004,91,"All","RL"
"cs",0.134,0.004,91,"All","RL"
"E0",0.107,0.004,91,"All","RL"
"eta",0.004,0,91,"All","RL"
"alpha",0.081,0.003,92,"All","RL"
"cs",0.133,0.005,92,"All","RL"
"E0",0.107,0.004,92,"All","RL"
"eta",0.004,0,92,"All","RL"
"alpha",0.081,0.003,93,"All","RL"
"cs",0.133,0.005,93,"All","RL"
"E0",0.107,0.003,93,"All","RL"
"eta",0.004,0,93,"All","RL"
"alpha",0.08,0.003,94,"All","RL"
"cs",0.132,0.005,94,"All","RL"
"E0",0.107,0.003,94,"All","RL"
"eta",0.004,0,94,"All","RL"
"alpha",0.081,0.003,95,"All","RL"
"cs",0.133,0.004,95,"All","RL"
"E0",0.107,0.003,95,"All","RL"
"eta",0.004,0,95,"All","RL"
"alpha",0.079,0.004,96,"All","RL"
"cs",0.133,0.005,96,"All","RL"
"E0",0.107,0.003,96,"All","RL"
"eta",0.004,0,96,"All","RL"
"alpha",0.08,0.003,97,"All","RL"
"cs",0.134,0.004,97,"All","RL"
"E0",0.107,0.003,97,"All","RL"
"eta",0.004,0,97,"All","RL"
"alpha",0.081,0.003,98,"All","RL"
"cs",0.133,0.004,98,"All","RL"
"E0",0.107,0.003,98,"All","RL"
"eta",0.004,0,98,"All","RL"
"alpha",0.08,0.003,99,"All","RL"
"cs",0.133,0.003,99,"All","RL"
"E0",0.107,0.003,99,"All","RL"
"eta",0.004,0,99,"All","RL"
"alpha",0.081,0.002,100,"All","RL"
"cs",0.133,0.004,100,"All","RL"
"E0",0.107,0.003,100,"All","RL"
"eta",0.004,0,100,"All","RL"
"alpha",0.081,0.002,101,"All","RL"
"cs",0.133,0.003,101,"All","RL"
"E0",0.107,0.002,101,"All","RL"
"eta",0.004,0,101,"All","RL"
"alpha",0.081,0.002,102,"All","RL"
"cs",0.133,0.003,102,"All","RL"
"E0",0.107,0.002,102,"All","RL"
"eta",0.004,0,102,"All","RL"
"alpha",0.081,0.002,103,"All","RL"
"cs",0.133,0.003,103,"All","RL"
"E0",0.107,0.002,103,"All","RL"
"eta",0.004,0,103,"All","RL"
"alpha",0.081,0.002,104,"All","RL"
"cs",0.134,0.002,104,"All","RL"
"E0",0.107,0.002,104,"All","RL"
"eta",0.004,0,104,"All","RL"
"alpha",0.08,0.002,105,"All","RL"
"cs",0.133,0.003,105,"All","RL"
"E0",0.107,0.002,105,"All","RL"
"eta",0.004,0,105,"All","RL"
"alpha",0.081,0.001,106,"All","RL"
"cs",0.133,0.002,106,"All","RL"
"E0",0.107,0.002,106,"All","RL"
"eta",0.004,0,106,"All","RL"
"alpha",0.081,0.001,107,"All","RL"
"cs",0.133,0.002,107,"All","RL"
"E0",0.107,0.002,107,"All","RL"
"eta",0.004,0,107,"All","RL"
"alpha",0.081,0.001,108,"All","RL"
"cs",0.134,0.001,108,"All","RL"
"E0",0.107,0.001,108,"All","RL"
"eta",0.004,0,108,"All","RL"
"alpha",0.081,0.001,109,"All","RL"
"cs",0.133,0.001,109,"All","RL"
"E0",0.107,0.001,109,"All","RL"
"eta",0.004,0,109,"All","RL"
"alpha",0.081,0,110,"All","RL"
"cs",0.133,0,110,"All","RL"
"E0",0.107,0,110,"All","RL"
"eta",0.004,0,110,"All","RL"
"cs",0.099,0.07,2,"All","eKF"
"E0",0.058,0.083,2,"All","eKF"
"eps",0.074,0.066,2,"All","eKF"
"eta",0.07,0.049,2,"All","eKF"
"psi",0.103,0.082,2,"All","eKF"
"w0",0.134,0.109,2,"All","eKF"
"xi",0.006,0.041,2,"All","eKF"
"cs",0.107,0.057,3,"All","eKF"
"E0",0.07,0.083,3,"All","eKF"
"eps",0.085,0.049,3,"All","eKF"
"eta",0.079,0.04,3,"All","eKF"
"psi",0.113,0.062,3,"All","eKF"
"w0",0.151,0.091,3,"All","eKF"
"xi",0.017,0.074,3,"All","eKF"
"cs",0.113,0.046,4,"All","eKF"
"E0",0.076,0.089,4,"All","eKF"
"eps",0.085,0.042,4,"All","eKF"
"eta",0.085,0.033,4,"All","eKF"
"psi",0.12,0.052,4,"All","eKF"
"w0",0.161,0.082,4,"All","eKF"
"xi",0.02,0.075,4,"All","eKF"
"cs",0.116,0.04,5,"All","eKF"
"E0",0.079,0.088,5,"All","eKF"
"eps",0.089,0.04,5,"All","eKF"
"eta",0.085,0.028,5,"All","eKF"
"psi",0.124,0.05,5,"All","eKF"
"w0",0.155,0.07,5,"All","eKF"
"xi",0.021,0.074,5,"All","eKF"
"cs",0.114,0.034,6,"All","eKF"
"E0",0.09,0.102,6,"All","eKF"
"eps",0.093,0.038,6,"All","eKF"
"eta",0.085,0.026,6,"All","eKF"
"psi",0.121,0.043,6,"All","eKF"
"w0",0.17,0.063,6,"All","eKF"
"xi",0.021,0.069,6,"All","eKF"
"cs",0.12,0.031,7,"All","eKF"
"E0",0.07,0.057,7,"All","eKF"
"eps",0.094,0.035,7,"All","eKF"
"eta",0.088,0.023,7,"All","eKF"
"psi",0.122,0.038,7,"All","eKF"
"w0",0.178,0.065,7,"All","eKF"
"xi",0.024,0.071,7,"All","eKF"
"cs",0.116,0.032,8,"All","eKF"
"E0",0.085,0.08,8,"All","eKF"
"eps",0.094,0.032,8,"All","eKF"
"eta",0.087,0.021,8,"All","eKF"
"psi",0.126,0.035,8,"All","eKF"
"w0",0.17,0.057,8,"All","eKF"
"xi",0.026,0.072,8,"All","eKF"
"cs",0.123,0.026,9,"All","eKF"
"E0",0.061,0.028,9,"All","eKF"
"eps",0.093,0.031,9,"All","eKF"
"eta",0.088,0.016,9,"All","eKF"
"psi",0.113,0.03,9,"All","eKF"
"w0",0.166,0.043,9,"All","eKF"
"xi",0.029,0.076,9,"All","eKF"
"cs",0.12,0.026,10,"All","eKF"
"E0",0.09,0.083,10,"All","eKF"
"eps",0.092,0.027,10,"All","eKF"
"eta",0.088,0.019,10,"All","eKF"
"psi",0.125,0.031,10,"All","eKF"
"w0",0.172,0.052,10,"All","eKF"
"xi",0.032,0.076,10,"All","eKF"
"cs",0.118,0.024,11,"All","eKF"
"E0",0.089,0.074,11,"All","eKF"
"eps",0.095,0.027,11,"All","eKF"
"eta",0.088,0.017,11,"All","eKF"
"psi",0.131,0.029,11,"All","eKF"
"w0",0.168,0.049,11,"All","eKF"
"xi",0.03,0.071,11,"All","eKF"
"cs",0.122,0.023,12,"All","eKF"
"E0",0.084,0.066,12,"All","eKF"
"eps",0.094,0.026,12,"All","eKF"
"eta",0.086,0.017,12,"All","eKF"
"psi",0.125,0.029,12,"All","eKF"
"w0",0.163,0.043,12,"All","eKF"
"xi",0.026,0.064,12,"All","eKF"
"cs",0.121,0.023,13,"All","eKF"
"E0",0.095,0.08,13,"All","eKF"
"eps",0.097,0.024,13,"All","eKF"
"eta",0.089,0.015,13,"All","eKF"
"psi",0.126,0.027,13,"All","eKF"
"w0",0.175,0.044,13,"All","eKF"
"xi",0.028,0.065,13,"All","eKF"
"cs",0.122,0.021,14,"All","eKF"
"E0",0.089,0.072,14,"All","eKF"
"eps",0.1,0.022,14,"All","eKF"
"eta",0.089,0.014,14,"All","eKF"
"psi",0.127,0.025,14,"All","eKF"
"w0",0.17,0.042,14,"All","eKF"
"xi",0.036,0.072,14,"All","eKF"
"cs",0.123,0.02,15,"All","eKF"
"E0",0.095,0.073,15,"All","eKF"
"eps",0.098,0.024,15,"All","eKF"
"eta",0.088,0.013,15,"All","eKF"
"psi",0.128,0.025,15,"All","eKF"
"w0",0.177,0.042,15,"All","eKF"
"xi",0.032,0.067,15,"All","eKF"
"cs",0.117,0.02,16,"All","eKF"
"E0",0.083,0.059,16,"All","eKF"
"eps",0.101,0.024,16,"All","eKF"
"eta",0.09,0.013,16,"All","eKF"
"psi",0.126,0.022,16,"All","eKF"
"w0",0.174,0.04,16,"All","eKF"
"xi",0.048,0.078,16,"All","eKF"
"cs",0.124,0.018,17,"All","eKF"
"E0",0.098,0.071,17,"All","eKF"
"eps",0.097,0.022,17,"All","eKF"
"eta",0.088,0.014,17,"All","eKF"
"psi",0.13,0.021,17,"All","eKF"
"w0",0.17,0.034,17,"All","eKF"
"xi",0.037,0.069,17,"All","eKF"
"cs",0.123,0.02,18,"All","eKF"
"E0",0.091,0.064,18,"All","eKF"
"eps",0.094,0.02,18,"All","eKF"
"eta",0.09,0.012,18,"All","eKF"
"psi",0.129,0.022,18,"All","eKF"
"w0",0.178,0.038,18,"All","eKF"
"xi",0.033,0.065,18,"All","eKF"
"cs",0.122,0.018,19,"All","eKF"
"E0",0.097,0.068,19,"All","eKF"
"eps",0.098,0.019,19,"All","eKF"
"eta",0.089,0.012,19,"All","eKF"
"psi",0.127,0.022,19,"All","eKF"
"w0",0.172,0.038,19,"All","eKF"
"xi",0.032,0.062,19,"All","eKF"
"cs",0.123,0.018,20,"All","eKF"
"E0",0.093,0.065,20,"All","eKF"
"eps",0.1,0.019,20,"All","eKF"
"eta",0.091,0.011,20,"All","eKF"
"psi",0.13,0.021,20,"All","eKF"
"w0",0.177,0.037,20,"All","eKF"
"xi",0.036,0.064,20,"All","eKF"
"cs",0.122,0.016,21,"All","eKF"
"E0",0.096,0.066,21,"All","eKF"
"eps",0.097,0.019,21,"All","eKF"
"eta",0.089,0.011,21,"All","eKF"
"psi",0.128,0.021,21,"All","eKF"
"w0",0.177,0.034,21,"All","eKF"
"xi",0.041,0.067,21,"All","eKF"
"cs",0.122,0.018,22,"All","eKF"
"E0",0.093,0.061,22,"All","eKF"
"eps",0.098,0.017,22,"All","eKF"
"eta",0.089,0.011,22,"All","eKF"
"psi",0.128,0.02,22,"All","eKF"
"w0",0.175,0.032,22,"All","eKF"
"xi",0.044,0.068,22,"All","eKF"
"cs",0.123,0.016,23,"All","eKF"
"E0",0.099,0.065,23,"All","eKF"
"eps",0.098,0.018,23,"All","eKF"
"eta",0.089,0.011,23,"All","eKF"
"psi",0.128,0.02,23,"All","eKF"
"w0",0.174,0.033,23,"All","eKF"
"xi",0.035,0.061,23,"All","eKF"
"cs",0.118,0.016,24,"All","eKF"
"E0",0.107,0.069,24,"All","eKF"
"eps",0.098,0.016,24,"All","eKF"
"eta",0.09,0.01,24,"All","eKF"
"psi",0.132,0.023,24,"All","eKF"
"w0",0.18,0.034,24,"All","eKF"
"xi",0.024,0.05,24,"All","eKF"
"cs",0.122,0.015,25,"All","eKF"
"E0",0.095,0.059,25,"All","eKF"
"eps",0.099,0.017,25,"All","eKF"
"eta",0.089,0.009,25,"All","eKF"
"psi",0.129,0.018,25,"All","eKF"
"w0",0.174,0.029,25,"All","eKF"
"xi",0.036,0.06,25,"All","eKF"
"cs",0.121,0.015,26,"All","eKF"
"E0",0.103,0.063,26,"All","eKF"
"eps",0.098,0.016,26,"All","eKF"
"eta",0.09,0.009,26,"All","eKF"
"psi",0.13,0.019,26,"All","eKF"
"w0",0.18,0.029,26,"All","eKF"
"xi",0.043,0.063,26,"All","eKF"
"cs",0.121,0.014,27,"All","eKF"
"E0",0.096,0.06,27,"All","eKF"
"eps",0.099,0.016,27,"All","eKF"
"eta",0.089,0.01,27,"All","eKF"
"psi",0.129,0.019,27,"All","eKF"
"w0",0.177,0.028,27,"All","eKF"
"xi",0.044,0.063,27,"All","eKF"
"cs",0.122,0.014,28,"All","eKF"
"E0",0.101,0.059,28,"All","eKF"
"eps",0.102,0.015,28,"All","eKF"
"eta",0.089,0.01,28,"All","eKF"
"psi",0.128,0.015,28,"All","eKF"
"w0",0.177,0.028,28,"All","eKF"
"xi",0.043,0.062,28,"All","eKF"
"cs",0.124,0.009,29,"All","eKF"
"E0",0.149,0.06,29,"All","eKF"
"eps",0.088,0.015,29,"All","eKF"
"eta",0.089,0.007,29,"All","eKF"
"psi",0.135,0.014,29,"All","eKF"
"w0",0.162,0.026,29,"All","eKF"
"xi",0.026,0.049,29,"All","eKF"
"cs",0.122,0.013,30,"All","eKF"
"E0",0.108,0.06,30,"All","eKF"
"eps",0.098,0.015,30,"All","eKF"
"eta",0.089,0.009,30,"All","eKF"
"psi",0.13,0.017,30,"All","eKF"
"w0",0.176,0.025,30,"All","eKF"
"xi",0.04,0.059,30,"All","eKF"
"cs",0.122,0.012,31,"All","eKF"
"E0",0.1,0.057,31,"All","eKF"
"eps",0.098,0.014,31,"All","eKF"
"eta",0.09,0.009,31,"All","eKF"
"psi",0.13,0.015,31,"All","eKF"
"w0",0.178,0.026,31,"All","eKF"
"xi",0.045,0.061,31,"All","eKF"
"cs",0.121,0.012,32,"All","eKF"
"E0",0.111,0.059,32,"All","eKF"
"eps",0.099,0.014,32,"All","eKF"
"eta",0.091,0.008,32,"All","eKF"
"psi",0.13,0.017,32,"All","eKF"
"w0",0.178,0.025,32,"All","eKF"
"xi",0.045,0.06,32,"All","eKF"
"cs",0.123,0.012,33,"All","eKF"
"E0",0.084,0.047,33,"All","eKF"
"eps",0.101,0.008,33,"All","eKF"
"eta",0.087,0.007,33,"All","eKF"
"psi",0.132,0.016,33,"All","eKF"
"w0",0.175,0.024,33,"All","eKF"
"xi",0.047,0.06,33,"All","eKF"
"cs",0.123,0.012,34,"All","eKF"
"E0",0.106,0.056,34,"All","eKF"
"eps",0.099,0.013,34,"All","eKF"
"eta",0.09,0.008,34,"All","eKF"
"psi",0.129,0.015,34,"All","eKF"
"w0",0.178,0.024,34,"All","eKF"
"xi",0.048,0.06,34,"All","eKF"
"cs",0.121,0.012,35,"All","eKF"
"E0",0.102,0.054,35,"All","eKF"
"eps",0.099,0.014,35,"All","eKF"
"eta",0.09,0.007,35,"All","eKF"
"psi",0.129,0.014,35,"All","eKF"
"w0",0.178,0.024,35,"All","eKF"
"xi",0.05,0.06,35,"All","eKF"
"cs",0.124,0.011,36,"All","eKF"
"E0",0.104,0.053,36,"All","eKF"
"eps",0.1,0.012,36,"All","eKF"
"eta",0.089,0.007,36,"All","eKF"
"psi",0.129,0.014,36,"All","eKF"
"w0",0.177,0.024,36,"All","eKF"
"xi",0.043,0.056,36,"All","eKF"
"cs",0.123,0.012,37,"All","eKF"
"E0",0.102,0.053,37,"All","eKF"
"eps",0.099,0.013,37,"All","eKF"
"eta",0.089,0.008,37,"All","eKF"
"psi",0.128,0.016,37,"All","eKF"
"w0",0.179,0.022,37,"All","eKF"
"xi",0.048,0.057,37,"All","eKF"
"cs",0.125,0.011,38,"All","eKF"
"E0",0.094,0.047,38,"All","eKF"
"eps",0.099,0.011,38,"All","eKF"
"eta",0.089,0.008,38,"All","eKF"
"psi",0.129,0.013,38,"All","eKF"
"w0",0.178,0.021,38,"All","eKF"
"xi",0.047,0.057,38,"All","eKF"
"cs",0.122,0.011,39,"All","eKF"
"E0",0.106,0.052,39,"All","eKF"
"eps",0.099,0.012,39,"All","eKF"
"eta",0.09,0.007,39,"All","eKF"
"psi",0.129,0.014,39,"All","eKF"
"w0",0.177,0.022,39,"All","eKF"
"xi",0.05,0.057,39,"All","eKF"
"cs",0.122,0.01,40,"All","eKF"
"E0",0.108,0.052,40,"All","eKF"
"eps",0.099,0.012,40,"All","eKF"
"eta",0.089,0.007,40,"All","eKF"
"psi",0.13,0.013,40,"All","eKF"
"w0",0.179,0.021,40,"All","eKF"
"xi",0.051,0.056,40,"All","eKF"
"cs",0.122,0.01,41,"All","eKF"
"E0",0.109,0.051,41,"All","eKF"
"eps",0.099,0.012,41,"All","eKF"
"eta",0.089,0.007,41,"All","eKF"
"psi",0.13,0.012,41,"All","eKF"
"w0",0.178,0.021,41,"All","eKF"
"xi",0.052,0.056,41,"All","eKF"
"cs",0.123,0.01,42,"All","eKF"
"E0",0.107,0.05,42,"All","eKF"
"eps",0.099,0.012,42,"All","eKF"
"eta",0.09,0.006,42,"All","eKF"
"psi",0.129,0.012,42,"All","eKF"
"w0",0.177,0.021,42,"All","eKF"
"xi",0.053,0.056,42,"All","eKF"
"cs",0.123,0.01,43,"All","eKF"
"E0",0.104,0.049,43,"All","eKF"
"eps",0.098,0.011,43,"All","eKF"
"eta",0.09,0.006,43,"All","eKF"
"psi",0.129,0.012,43,"All","eKF"
"w0",0.178,0.02,43,"All","eKF"
"xi",0.054,0.055,43,"All","eKF"
"cs",0.127,0.013,44,"All","eKF"
"E0",0.118,0.048,44,"All","eKF"
"eps",0.1,0.01,44,"All","eKF"
"eta",0.09,0.006,44,"All","eKF"
"psi",0.129,0.011,44,"All","eKF"
"w0",0.18,0.019,44,"All","eKF"
"xi",0.042,0.052,44,"All","eKF"
"cs",0.123,0.01,45,"All","eKF"
"E0",0.11,0.049,45,"All","eKF"
"eps",0.099,0.011,45,"All","eKF"
"eta",0.089,0.007,45,"All","eKF"
"psi",0.13,0.012,45,"All","eKF"
"w0",0.178,0.018,45,"All","eKF"
"xi",0.057,0.054,45,"All","eKF"
"cs",0.127,0.012,46,"All","eKF"
"E0",0.098,0.044,46,"All","eKF"
"eps",0.104,0.008,46,"All","eKF"
"eta",0.085,0.007,46,"All","eKF"
