"eta","C","cs"
15.0419071790676,52.8185122354368,16.0523212964181
21.916638543,15.5468923863454,19.5583681175846
19.3842146131984,40.9296265243826,14.1435388218392
8.88100103206066,18.2054780673239,19.1540731221459
15.6674820737985,2.3281662767031,21.1562736661968
12.4819199763167,20.2742200253889,15.138893118967
13.9160980659818,11.4197492958866,16.64233551441
9.81948377401731,44.1283055707319,21.385680354089
8.03103027315142,0.359582786931946,19.7471030973951
11.3856830211239,31.7954453206847,20.9869178051979
7.08225015049523,47.2229695155404,21.0021900129077
11.5609770814072,47.5405574331283,21.1558911975856
36.5425410177341,24.9827802753787,16.4395499439128
7.28685797415799,16.3246288090229,20.0547507029793
1.0874836749878,3.34346333759003,20.5208965099515
2.88948499747305,60.7892734769441,20.9944531204457
0.44717678043822,3.72070618106287,22.0663505115661
2.36316506982443,22.9617933628452,21.0435419014941
10.757669655332,25.4050564131166,17.4612648866018
28.2313742478009,2.61268643250807,17.3319056338113
16.2778189795794,17.4517965697745,18.5195210039668
17.060056445419,25.4583068005458,18.4076352633092
10.7295459079122,4.79898867786236,19.4461970917913
14.621779363757,55.1693742640648,21.1513105962864
21.5714499577219,65.155901488557,14.7460685393915
6.20591287771557,9.79536855992222,21.4625027182292
8.65006924628696,8.87532316704051,20.9040083073968
17.1685103712746,8.31267912699859,17.3272230116988
9.50066167587938,30.8783139256474,12.4725918851647
8.64292316890633,41.7282279372665,22.7516004182975
