"modelName","parName","condDiff","L_HDI","U_HDI"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eps","LVLS-HVLS","-1.62012642020754","1.34077260672344"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_psi","LVLS-HVLS","-1.47806393040383","1.2768335305583"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eta","LVLS-HVLS","-0.0526709078366211","0.0978170336237248"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_xi","LVLS-HVLS","-2.49500464068287","1.61378585803435"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_E0","LVLS-HVLS","-1.84036456968673","1.92511506171937"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_w0","LVLS-HVLS","-0.226662302748495","0.698874399630933"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_cs","LVLS-HVLS","-2.44986316910122","1.3622219866795"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_alpha","LVLS-HVLS","-0.0706514948510136","0.121246177347367"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_gam","LVLS-HVLS","-0.139311288010375","0.00990421768754829"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_w","LVLS-HVLS","-3.18942608648258","4.32539098567857"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_alpha","LVLS-HVLS","-0.0642438906777028","0.127498566100012"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_gam","LVLS-HVLS","-0.142166353002429","0.00936543056591746"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_psi","LVLS-HVLS","-1.60755247602791","1.37541191424831"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_eta","LVLS-HVLS","-1.95044304231795","0.885936447699124"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_xi","LVLS-HVLS","-2.92121573078932","1.71182654186583"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_E0","LVLS-HVLS","-1.76059562976706","1.88216628842368"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_w0","LVLS-HVLS","-1.47730807545602","1.05259375086896"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_cs","LVLS-HVLS","-2.72046103544279","1.293423546744"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_final_alpha","LVLS-HVLS","-0.0289054825640717","0.214562671560834"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_final_w","LVLS-HVLS","-2.45680984084091","4.85314347717809"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_avg_alpha","LVLS-HVLS","-0.0309842495478333","0.212440689269812"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","mu_eta","LVLS-HVLS","-3.01928966753354","2.61936448954595"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","mu_C","LVLS-HVLS","-1.98603627140306","2.15788141630917"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","mu_cs","LVLS-HVLS","-2.21341643386151","2.1554176527861"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","mu_E0","LVLS-HVHS","-1.8699275811689","1.68051080098485"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","mu_alpha","LVLS-HVHS","-0.11927009354195","0.381789047470949"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","mu_gam","LVLS-HVHS","-0.104147579746112","0.189650141264486"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","mu_eta","LVLS-HVHS","-2.50211926806548","1.60877641084746"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","mu_cs","LVLS-HVHS","-1.100217476385","1.95995169937904"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","mu_E0","LVLS-HVHS","-1.90929235824314","1.69601800501262"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","mu_alpha","LVLS-HVHS","-0.182871607949552","0.328405446603329"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","mu_eta","LVLS-HVHS","-2.75657249288464","1.85494024156857"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","mu_cs","LVLS-HVHS","-1.05960823603844","1.78636856729184"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eps","LVLS-HVHS","-0.906553997084751","1.78651517625129"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_psi","LVLS-HVHS","-1.64821722385222","1.29154777437485"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eta","LVLS-HVHS","-0.0418976814725391","0.0936315655020125"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_xi","LVLS-HVHS","-2.689876332399","1.50490337051672"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_E0","LVLS-HVHS","-1.86498325507161","1.88241515384196"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_w0","LVLS-HVHS","-0.48653082124915","0.62454350610817"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_cs","LVLS-HVHS","-1.1592905629971","1.83667786974014"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_alpha","LVLS-HVHS","-0.0165015120159682","0.186032656747344"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_gam","LVLS-HVHS","-0.100906321868336","0.0373595796686944"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_w","LVLS-HVHS","-2.82272925064688","4.53667703785588"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_alpha","LVLS-HVHS","-0.0145883078175743","0.187948543081015"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_gam","LVLS-HVHS","-0.100302924948815","0.0402017964233777"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_psi","LVLS-HVHS","-1.62026420074854","1.33361035648886"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_eta","LVLS-HVHS","-1.25545080097886","1.40929006490015"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_xi","LVLS-HVHS","-2.73404350167898","1.85293699521868"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_E0","LVLS-HVHS","-1.77584285028477","1.89188590999508"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_w0","LVLS-HVHS","-1.51022964304416","1.2921648160788"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_cs","LVLS-HVHS","-1.11974768500952","1.76336588303185"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_final_alpha","LVLS-HVHS","-0.0341919454385352","0.197693605007193"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_final_w","LVLS-HVHS","-2.57010501148832","4.95932100747049"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_avg_alpha","LVLS-HVHS","-0.0453702761243086","0.18723691825087"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","mu_eta","LVLS-HVHS","-3.27377035970267","2.41323613352254"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","mu_C","LVLS-HVHS","-2.09464505847056","2.08059403291417"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","mu_cs","LVLS-HVHS","-1.8182350427256","2.34478049138871"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","mu_E0","LVHS-HVLS","-1.71418001316778","1.77969877112988"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","mu_alpha","LVHS-HVLS","-0.240125989071227","0.310692469967508"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","mu_gam","LVHS-HVLS","-0.143140638958377","0.208542269812461"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","mu_eta","LVHS-HVLS","-2.2784663100024","1.94734565015766"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","mu_cs","LVHS-HVLS","-1.98818501202228","2.16800449808345"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","mu_E0","LVHS-HVLS","-1.75094689939587","1.85197387809088"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","mu_alpha","LVHS-HVLS","-0.158255551330437","0.362512268971207"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","mu_eta","LVHS-HVLS","-2.76908508031944","2.16665811163471"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","mu_cs","LVHS-HVLS","-2.43938826020896","2.04558751102015"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eps","LVHS-HVLS","-1.38751850193637","1.59411704991015"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_psi","LVHS-HVLS","-1.34807388972976","1.31304032176248"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eta","LVHS-HVLS","-0.051910933391349","0.0190994507112871"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_xi","LVHS-HVLS","-2.2372717824297","2.00672137401529"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_E0","LVHS-HVLS","-1.8989126735675","1.84444310626736"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_w0","LVHS-HVLS","-0.260755052005687","0.124833101230349"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_cs","LVHS-HVLS","-1.95179410318042","2.15448885627923"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_alpha","LVHS-HVLS","-0.139264901226479","0.0368084335015134"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_gam","LVHS-HVLS","-0.0872961844052546","0.0459710368662688"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_w","LVHS-HVLS","-3.30749818732653","3.22239231612821"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_alpha","LVHS-HVLS","-0.139468483276411","0.0357583636576334"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_gam","LVHS-HVLS","-0.0882791747443038","0.0469570410370962"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_psi","LVHS-HVLS","-1.65608240807258","1.54852052878442"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_eta","LVHS-HVLS","-1.79578330998577","0.0659958303626722"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_xi","LVHS-HVLS","-2.83802003110766","2.11755517360571"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_E0","LVHS-HVLS","-1.73163460076324","1.87023671396512"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_w0","LVHS-HVLS","-1.60307311906117","0.571305275131667"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_cs","LVHS-HVLS","-2.4557516910985","2.03479388566415"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_final_alpha","LVHS-HVLS","-0.0686278493775019","0.144727533734298"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_final_w","LVHS-HVLS","-2.69549957774965","4.98825610080305"
