"modelName","parName","PID","value","Rhat","vol","stoch","cond"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","alpha","709",0.835489867435194,1.00030164208684,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","alpha","710",0.573573851145852,1.00009277917741,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","alpha","712",0.795701890694179,1.00247012408138,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","alpha","713",0.864304009655446,0.999940107303924,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","alpha","715",0.892605499367153,1.0000709125354,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","alpha","716",0.718242969699745,0.999938465674306,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","alpha","717",0.921895876116975,1.00029713478258,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","alpha","719",0.711942939049548,1.00008756887764,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","alpha","720",0.505962611353056,1.00017518825409,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","alpha","721",0.848242601901104,1.00010144279434,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","501",10.6119092638998,0.999988962557383,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","502",10.2283185915469,0.99992376462717,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","503",9.07015300660452,0.999939468588933,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","505",9.43933448518682,0.999910004538555,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","506",1.25262782150858,1.00003712270008,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","507",4.06869647165704,1.0001476644738,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","601",10.3075884726493,0.999890777198103,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","603",5.87689786037948,0.99989706631703,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","604",8.88689490642005,0.999944252634136,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","605",10.9578104807131,0.999909711427135,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","701",9.80316028882939,0.999903255662435,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","702",7.7729912659629,0.999901443412599,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","703",12.0795947619157,0.999922897085152,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","704",9.48528166466545,0.999960740251773,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","706",9.66333703821137,0.999952899298168,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","707",11.2506778090447,0.999890674216955,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","708",13.4579198081503,0.999937043310016,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","709",7.4215328433831,1.00008889554676,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","710",5.51695106458058,0.999936087646414,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","712",10.4888866975983,0.99999944202998,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","713",9.47874019379369,0.999911543865957,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","715",10.1190157201034,0.999948959678776,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","716",8.26688029596846,0.999988381681029,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","717",10.8711197095061,0.999943534052072,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","719",4.16016526613293,0.99989172813921,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","720",4.90200765846364,1.00009877513271,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","cs","721",8.25378746235516,0.999946494521759,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","501",9.07534121599134,0.99994359700178,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","502",12.5594298430145,0.999905197702076,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","503",4.85022835672807,1.00040542797641,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","505",7.02199733551873,0.999973098239779,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","506",7.27434494228631,0.999881095352435,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","507",8.57983893922977,0.999857594611605,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","601",6.45728394583952,1.00014849336162,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","603",9.93929443175517,1.00030392462914,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","604",8.25365140174664,0.999980064879895,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","605",13.0787286916777,0.999908294988056,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","701",5.42158606571893,0.999939489324673,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","702",8.5528337670744,1.0001501244944,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","703",10.1580708320733,0.999945705323091,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","704",7.7720954163516,0.9999255486893,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","706",8.8956815309729,1.00006945910562,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","707",4.35760279747837,0.999969085206815,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","708",14.7510668912739,1.000080836122,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","709",10.0198640726881,0.999992111824663,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","710",11.6057904785654,1.00001150653181,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","712",9.36821578124113,1.00004762103242,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","713",8.48159746023648,0.999975059210983,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","715",4.50207372127969,1.00020946018274,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","716",7.43947125359926,1.00010581236386,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","717",7.47761603935385,1.00001756385252,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","719",9.32665212031174,0.999904121125248,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","720",9.35774190708753,1.0000236313544,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","eta","721",6.84574414434744,1.00000058707649,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","501",0.107432768138602,0.999910576027085,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","502",0.27151553635102,0.999908494490033,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","503",0.80941446659601,1.00068926563217,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","505",0.191256282503689,1.00005666040626,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","506",0.0676790041276511,0.999970504514873,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","507",0.196178574017252,1.00001412241389,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","601",0.212206460245378,1.00010837438885,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","603",0.37257365928386,1.00086041427623,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","604",0.195480079144585,0.999890621617922,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","605",0.113996985481853,0.999923735905437,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","701",0.41888559632661,0.999946304839725,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","702",0.697310075949433,1.00033599224807,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","703",0.0378604948801582,1.0000171986967,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","704",0.0571743275858358,1.00005575535502,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","706",0.335546549862897,1.0004381483811,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","707",0.0565504235183587,1.00000470249915,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","708",0.17137542423234,1.00026389367957,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","709",0.222804982561701,0.999941082044144,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","710",0.594091234175527,0.999942911572625,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","712",0.0768064469673062,0.999890431960488,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","713",0.0621506701603376,0.999981721281543,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","715",0.374755608618929,1.00001742838111,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","716",0.185104010868643,0.999879012432607,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","717",0.235591773987237,0.999948474126244,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","719",0.050767274197019,0.99993867808147,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","720",0.109607184822895,0.999955757930636,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","gam","721",0.291482265250169,1.00002924688292,"H","H","HVHS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","501",112.067912959545,1.00013871795022,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","502",101.665928219996,1.00033687173766,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","503",62.456475901529,1.00770488575545,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","505",78.623029345324,1.00571797019432,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","506",51.4879741076009,1.00063905540616,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","507",108.642325133595,1.00094270882847,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","601",89.2454754823778,1.0000846805179,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","603",42.7672009054758,1.00041464021028,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","604",158.23147087328,1.00081392301212,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","605",159.219116564246,1.00088217551311,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","701",111.628788745973,1.00139529601013,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","702",46.623882001416,1.00106477350124,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","703",63.3066192705895,1.00583101755935,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","704",68.818956324147,1.00192423623456,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","706",119.850657430157,1.01181209834785,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","707",17.3135682181933,1.00098203883391,"H","L","HVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","E0","708",17.6456312470135,1.00047589634304,"H","L","HVLS"
