"modelName","elpd_diff","se_diff","sigma_effect","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm_HVHS",0,0,NA,-7874.19429114006,132.908681798665,108.879052898687,6.08772272530601,15748.3885822801,265.817363597329
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm_HVHS",-9.56011388744599,5.07148516161149,1.88507184439996,-7883.75440502751,133.747345527886,110.831869705541,7.25774687162519,15767.508810055,267.494691055773
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm_HVHS",-139.40656344589,61.3616481118506,2.2718842752036,-8013.60085458595,120.230903632226,77.0611309395523,4.28541467002707,16027.2017091719,240.461807264453
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm_HVHS",-161.443981532096,77.3349130229625,2.08759504887733,-8035.63827267216,122.756035768765,100.687903819818,20.5417170605497,16071.2765453443,245.512071537529
"m4_C_sliced2_halfStudentT_reparam_confEs_norm_HVHS",-730.599578352203,77.0090162111255,9.48719532202845,-8604.79386949226,121.481483745213,67.382614192401,1.87055215432647,17209.5877389845,242.962967490427
