"modelName","parName","condDiff","L_HDI","U_HDI"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_eta","LVLS-HVLS","-1.88019977452535","6.31927749323317"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_xi","LVLS-HVLS","-1.94656780646637","4.97847190629512"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_E0","LVLS-HVLS","-60.7872521633297","32.388670213047"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_w0","LVLS-HVLS","-1.76637017322854","1.43198044862807"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_cs","LVLS-HVLS","-13.7075543651705","36.2255045491991"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVLS-HVLS","-3.58790409326928","7.09033413246792"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_C","LVLS-HVLS","-16.7493468887026","13.1465081716117"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVLS-HVLS","-83.5177346081254","100.407972130876"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_E0","LVLS-HVHS","-0.675023325183535","1.69062760943472"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_alpha","LVLS-HVHS","-1.10025926754222","0.167193054543544"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_gam","LVLS-HVHS","-1.42142953349029","4.85379485366739"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVLS-HVHS","-46.6119671342059","60.1048464795273"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVLS-HVHS","-16.1320576659346","24.2470955600885"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_E0","LVLS-HVHS","-0.215195706642805","1.20251477165396"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_alpha","LVLS-HVHS","-2.25029984772388","4.59946510445437"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_eta","LVLS-HVHS","-55.2315537989744","49.5575710932773"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_cs","LVLS-HVHS","-33.5151751030276","32.6661716140031"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_eps","LVLS-HVHS","-2.83570426155783","1.2673470012046"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_psi","LVLS-HVHS","-1.77414096701776","1.60263968876376"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVLS-HVHS","-2.77884775496988","5.35758434768921"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_xi","LVLS-HVHS","-1.4014264405919","4.85077836934774"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_E0","LVLS-HVHS","-27.7931525897444","28.8534229982453"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_w0","LVLS-HVHS","-0.911920186128023","1.13234083924331"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVLS-HVHS","-15.6001125967103","22.1649269108137"
