"modelName","parName","value","se_mean","sd","Rhat","vol","stoch","cond"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","mu_cs",0.873358998264242,0.61759411304157,0.00683276567694686,1.00020623845156,"L","L","LVLS"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","mu_eta",2.99346341204582,0.860230355451555,0.0146648924926019,1.00245320015321,"L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_E0",0.942439605286803,0.66410601328792,0.00420763847352035,0.999913361430974,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_alpha",0.654167852442648,0.0381370795892818,0.000499963515706087,1.00033685817093,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_gam",0.246626696046853,0.0218839503769119,0.000220313034296302,1.00040578100521,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_cs",0.730119754351026,0.40332820542937,0.0040265987510522,1.00000467356637,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eps",0.632499307010609,0.451140443236621,0.00649568045182275,1.00077728139899,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eta",0.0146819801390608,0.0147224393214669,0.000108099133639582,1.00009594380556,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_alpha",0.663476418764006,0.0383092776978927,0.000503282915008163,1.00034033132414,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_gam",0.242906761585132,0.0215178907178475,0.000217319812310612,1.00040354492015,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_w",3.27450765768069,1.15367338160353,0.00806468860922919,1.00023113048918,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_psi",1.23256330332258,0.537470499824746,0.00523326304352756,1.00018932112249,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_w0",0.23553912475707,0.1695420734066,0.0012480986956489,1.00010032655092,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_xi",3.51199282004334,0.662349380168212,0.0105369402283461,1.00088677657695,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_E0",0.939942087304612,0.665345104992445,0.00404798054296697,0.999964284771622,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_alpha",0.708390914552468,0.0338751515960839,0.000511123877181539,1.00121271652423,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_gam",0.28357524460792,0.0264144641696309,0.00019730048412608,0.999907790878517,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_cs",1.44644604475212,0.735205742777157,0.0135121242966073,1.00085117358143,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eps",1.21674175176864,0.562561720326315,0.00759962718890515,1.00038475527919,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eta",0.0166356125478209,0.0210190074454913,0.000247156619663332,1.00100946066672,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_alpha",0.72016146217148,0.0340993326176495,0.000517959019705545,1.00120771321309,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_gam",0.278211347471131,0.0260115815181691,0.000193261942943803,0.99991146032004,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_w",3.46608026161617,1.1840729913234,0.00976605922375914,1.00048425822292,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_psi",1.18697935523869,0.471887407089279,0.00442865011368923,1.00052672262675,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_w0",0.0886703191845823,0.093516396281342,0.000773552607969794,1.00023640840044,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_xi",3.38742613656574,0.643943450571725,0.0107917572960408,1.00018825608427,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_E0",0.925536699255759,0.662930862601171,0.00374258918279529,1.00002179688041,"L","H","LVHS"
