"eta","C","cs"
8.00671597080664,17.4527905745307,13.6250857979468
3.74982885590863,75.4460995628102,10.4013818736027
12.3384877424052,30.3933813329065,14.577703146125
22.4768875336504,7.65772919836076,11.8566653598227
0.665219973832259,82.8958412611579,9.93535975215935
4.52704507526644,11.6716722759881,0.670136027929861
13.4304356407852,44.7140399794479,0.887792243930757
15.2360134365472,19.5995593674868,14.8155478703312
10.2592179695131,55.7594234957022,1.76494781021668
17.3640257987855,49.4733896534292,16.6451916273762
25.3074925831798,19.5582655667521,13.8219215091694
3.99708910266515,74.9863326585087,13.1784605888753
1.26523188296793,1.09583336103628,12.5734838723514
15.9987106274828,4.80665397911841,13.1779228048269
32.8492924507308,52.5756329815246,13.4787058803374
1.59295458506337,9.1554919019913,18.4594016770348
1.22608755034545,52.3614417746036,12.5132829446281
6.43123496469753,56.4460554781026,13.2560907805826
7.87272992383325,45.9716671151212,12.8218006012755
20.6630359912381,49.8101291729379,13.2148196296374
8.33231457180964,7.68976379618527,13.9634180133814
15.6846184855552,83.2596585540787,11.3493156459982
6.46240184757012,8.28392843176976,13.894572542381
11.5961584556007,43.244072827756,7.59786147691515
5.50362572943806,42.4885789312927,11.9788187087901
5.09762862162789,76.4400596915318,13.389784979819
10.1858797236118,1.28284436878021,13.9477710567072
31.3798016403389,29.8896773147433,10.3540481559078
5.55570147085755,21.9616134429067,15.3162175558834
2.76185206359527,81.5362764830248,14.592655902933
