PID,par_val,cond,order
501,6.083794498114464e-18,,
502,31.406682322932724,,
503,40.112965043204085,,
505,26.933780871769255,,
506,6.371449000177467,,
507,1.307245013666574e-11,,
601,7.554110868888188,,
603,23.431574189418324,,
604,2.488872884874901,,
605,4.46889381985536,,
701,21.260848126232748,,
702,14.632117213297743,,
703,13.846454254008524,,
704,9.395367771253113,,
706,46.65798183874102,,
707,32.248526877621984,,
708,14.234445472574617,,
709,4.325974298514957,,
710,25.87556251306181,,
712,3.609960277704362e-18,,
713,8.145136024856907,,
715,13.3099776342129,,
716,31.748878834554667,,
717,-0.5834237187127407,,
719,1.746540810852287e-18,,
720,8.975816836976062,,
721,-2.518090382146646,,
